Position-x,Position-y,Velocity-x,Velocity-y
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
284,586,-1,-1
286,630,25.501551931173903,561.0341424858259
280,560,59.41150890612274,693.1342705714319
276,500,52.82798143471607,792.4197215207411
274,466,25.731373866205328,437.43335572549057
270,420,53.299581919611654,612.945192075534
272,404,26.923843270168952,215.39074616135161
272,392,0.0,157.67368599121593
274,396,25.782225445962062,51.564450891924125
276,414,22.91024194935969,206.1921775442372
280,444,42.100707148270274,315.75530361202703
282,482,27.403721513694332,520.6707087601924
-1,-1,-1,-1
282,432,-1,-1
-1,-1,-1,-1
280,354,-1,-1
280,340,0.0,156.136842497115
282,328,21.745045635882427,130.47027381529458
282,332,0.0,52.77995161559249
284,346,26.780386735922,187.462707151454
286,368,24.539286926200255,269.9321561882028
290,400,47.404380123023195,379.23504098418556
-1,-1,-1,-1
-1,-1,-1,-1
288,306,-1,-1
284,288,51.9482784245727,233.76725291057716
286,274,26.680135108487537,186.76094575941275
286,272,0.0,25.00695481605361
288,280,28.17304275691597,112.69217102766387
288,300,0.0,269.22633528252595
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
290,254,-1,-1
286,236,52.900607291279094,238.05273281075594
286,226,0.0,133.1732237713168
286,228,0.0,26.537577941367214
288,238,24.326934007679192,121.63467003839595
290,266,18.871202355804815,264.1968329812674
288,290,28.375841014799153,340.51009217758985
288,250,0.0,499.84704168367364
-1,-1,-1,-1
284,202,-1,-1
288,192,56.186067695687555,140.46516923921888
288,190,0.0,26.24556661034979
290,198,26.66631063300877,106.66524253203508
290,214,0.0,210.48148415324542
292,240,26.673857190099465,346.760143471293
-1,-1,-1,-1
290,184,-1,-1
292,168,27.029769902721792,216.23815922177434
290,162,26.662072867236443,79.98621860170933
290,164,0.0,27.03247012722515
290,170,0.0,79.37944434631204
292,190,26.592259385708807,265.9225938570881
-1,-1,-1,-1
292,174,-1,-1
290,148,21.92653001479437,285.0448901923268
290,138,0.0,116.3232965307996
290,136,0.0,26.459063654227688
290,140,0.0,49.50272487201806
-1,-1,-1,-1
292,178,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
288,120,-1,-1
-1,-1,-1,-1
292,126,-1,-1
292,146,0.0,231.2204345680918
-1,-1,-1,-1
-1,-1,-1,-1
292,102,-1,-1
290,100,24.96408919521348,24.96408919521348
290,104,0.0,55.59216808983701
292,112,22.221183825379796,88.88473530151919
-1,-1,-1,-1
290,102,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
292,100,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
294,62,-1,-1
-1,-1,-1,-1
290,66,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
284,74,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
276,84,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
268,96,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
216,174,-1,-1
-1,-1,-1,-1
212,178,-1,-1
210,180,23.108603667136812,23.108603667136812
-1,-1,-1,-1
204,182,-1,-1
204,188,0.0,82.35078683085018
202,186,18.51699917443303,18.51699917443303
-1,-1,-1,-1
196,190,-1,-1
194,194,22.878063414660755,45.75612682932151
194,194,0.0,0.0
-1,-1,-1,-1
190,196,-1,-1
-1,-1,-1,-1
184,200,-1,-1
180,202,48.69538565134356,24.34769282567178
180,202,0.0,0.0
-1,-1,-1,-1
-1,-1,-1,-1
172,206,-1,-1
172,208,0.0,26.479526256644654
170,210,21.896653615244063,21.896653615244063
-1,-1,-1,-1
-1,-1,-1,-1
164,214,-1,-1
162,214,23.256210078069554,0.0
-1,-1,-1,-1
160,216,-1,-1
154,218,79.24746189696435,26.415820632321452
-1,-1,-1,-1
-1,-1,-1,-1
148,220,-1,-1
146,222,27.39835125354376,27.39835125354376
144,224,26.76867895868834,26.76867895868834
140,224,43.7427250660291,0.0
140,224,0.0,0.0
138,226,26.233829429921535,26.233829429921535
134,226,53.29280967688652,0.0
132,226,26.780472231799667,0.0
130,226,26.399942093022524,0.0
128,228,26.485294906970356,26.485294906970356
124,228,53.091279623552644,0.0
122,230,25.978563354547003,25.978563354547003
120,230,26.827835219695345,0.0
118,230,25.981459972930196,0.0
116,232,27.41912793358175,27.41912793358175
114,232,25.12529689610658,0.0
110,232,45.45747070378649,0.0
108,234,22.575631495944325,22.575631495944325
106,234,18.16734489681445,0.0
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
98,236,-1,-1
96,236,20.90769924804534,0.0
